guten_bid,good_bid,title,author
164,26164627,Twenty Thousand Leagues Under the Seas,Jules Verne
165,1817436,McTeague: A Story of San Francisco,Frank Norris
166,9066731,Summer,Edith Wharton
169,23161483,The Well at the World's End: A Tale,William Morris
170,777106,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins
171,398203,Charlotte Temple,Susanna Rowson
172,165519,The Haunted Bookshop,Christopher Morley
173,17160055,The Insidious Dr. Fu Manchu,Sax Rohmer
174,1221719,The Picture of Dorian Gray,Oscar Wilde
175,1775164,The Phantom Of The Opera,Gaston Leroux
176,856226,Roderick Hudson,Henry James
177,7231355,The American,Henry James
178,6418457,Confidence,Henry James
179,6403629,The Europeans,Henry James
202,2435435,My Bondage and My Freedom,Frederick Douglass
203,890368,Uncle Toms Cabin,Harriet Beecher Stowe
205,412794,Walden and On the Duty of Civil Disobedience,Henry David Thoreau
207,13452712,The Spell of the Yukon and Other Verses,Robert W. Service
209,27869748,The Turn of the Screw,Henry James
210,8267998,An International Episode,Henry James
211,214528,The Aspern Papers,Henry James
212,15993087,A List Of Factorial Math Constants,Unknown
213,1841075,The Man from Snowy River,A.B. Paterson
215,22734518,The Call of The Wild,Jack London
217,20427793,Sons and Lovers,D.H. Lawrence
219,420031,Heart of Darkness,Joseph Conrad
220,962252,The Secret Sharer,Joseph Conrad
222,1697368,The Moon and Sixpence,W. Somerset Maugham
224,33852156,A Pair of Blue Eyes,Thomas Hardy
225,18270638,At the Back of the North Wind,George MacDonald
232,19077834,The Georgics,Virgil
236,4683101,The Jungle Book,Rudyard Kipling
238,10836221,Dear Enemy,Jean Webster
242,25826173,My Antonia,Willa Cather
243,1607895,The Forged Coupon and Other Stories,Leo Tolstoy
244,18420587,A Study in Scarlet,Arthur Conan Doyle
245,22707031,Life on the Mississippi,Mark Twain
257,820905,Troilus and Criseyde,Geoffrey Chaucer
259,29833260,Ballads of a Cheechako,Robert William Service
261,1970451,A Dome of Many Colored Glass,Amy Lowell
263,2194818,Trees & Other Poems,Joyce Kilmer
267,10468789,The Touchstone,Edith Wharton
268,4058269,The Octopus: A Story of California,Frank Norris
269,6077491,Beasts and Super-Beasts,Saki
270,11881251,Dream Days,Kenneth Grahame
271,6157648,Black Beauty,Anna Sewell
283,18336987,The Reef,Edith Wharton
284,805271,The House of Mirth,Edith Wharton
286,8735025,Laddie: A True Blue Story,Gene Stratton-Porter
289,581169,The Wind in the Willows,Kenneth Grahame
291,6105857,The Golden Age,Kenneth Grahame
294,956146,The Captain of the Polestar and Other Tales,Arthur Conan Doyle
295,19092863,The Early Short Fiction of Edith Wharton - Part 1,Edith Wharton
296,7312371,The Cash Boy,Horatio Alger Jr.
297,525822,The Flirt,Booth Tarkington
301,18619523,Ballad of Reading Gaol,Oscar Wilde
305,12848145,The Count's Millions,Emile Gaboriau
308,11084641,Three Men in a Boat,Jerome K. Jerome
309,2987656,Rhymes of a Rolling Stone,Robert W. Service
310,1126161,Before Adam,Jack London
311,12225014,Bunner Sisters,Edith Wharton
313,1213805,Children Of The Night,Edwin Arlington Robinson
316,65762,The Golden Road,L.M. Montgomery
318,11806753,John Barleycorn,Jack London
322,7296920,"St. Ives, Being the Adventures of a French Prisoner in England",Robert Louis Stevenson
325,10112488,Phantastes: A Faerie Romance for Men and Women,George MacDonald
327,8745495,The Princess Aline,Richard Harding Davis
328,2239187,A Heap O' Livin',Edgar A. Guest
329,10198522,Island Nights' Entertainments,Robert Louis Stevenson
330,11130136,Where There's A Will,Mary Roberts Rinehart
331,7141540,The Mucker,Edgar Rice Burroughs
332,8877355,The Burial of the Guns,Thomas Nelson Page
336,2043784,Indian Heroes and Great Chieftains,Charles Alexander Eastman
337,722197,Indian Boyhood,Charles Alexander Eastman
338,2282584,Old Indian Legends,Zitkala-Sa
340,1739133,The Soul of the Indian: An Interpretation,Charles Alexander Eastman
341,10516456,Myths and Legends of the Sioux,Marie L. McLaughlin
342,1901009,Margaret Ogilvy,J.M. Barrie
343,22631303,Fables,Robert Louis Stevenson
345,2150464,Dracula,Bram Stoker
346,29570270,"The Troll Garden, and Selected Stories",Willa Cather
348,28878226,"Hesiod, the Homeric Hymns, and Homerica",Hesiod
349,6038904,The Harvester,Gene Stratton-Porter
350,967432,Fanny Herself,Edna Ferber
351,395130,Of Human Bondage,W. Somerset Maugham
352,5619377,Buttered Side Down: Short Stories,Edna Ferber
355,8354620,The Parasite: A Story,Arthur Conan Doyle
356,1740624,Beyond the City,Arthur Conan Doyle
357,7557403,A Dream of John Ball and A King's Lesson,William Morris
358,31874635,The Scarlet Car,Richard Harding Davis
361,6986198,Miss Billy Married,Eleanor H. Porter
362,9079372,Miss Billy's Decision,Eleanor H. Porter
363,7111348,The Oakdale Affair,Edgar Rice Burroughs
364,1907841,The Mad King,Edgar Rice Burroughs
365,3029319,The Land of Little Rain,Mary Austin
366,6322878,Bab: A Sub-Deb,Mary Roberts Rinehart
367,17832077,The Country of the Pointed Firs,Sarah Orne Jewett
369,1305387,The Outlaw of Torn,Edgar Rice Burroughs
370,421442,The Fortunes and Misfortunes of Moll Flanders,Daniel Defoe
372,11511572,"Prince Otto, a Romance",Robert Louis Stevenson
374,641271,Fantastic Fables,Ambrose Bierce
375,19389879,An Occurence at Owl-Creek Bridge,Ambrose Bierce
381,20576830,Memories and Portraits,Robert Louis Stevenson
382,7000170,Edinburgh: Picturesque Notes,Robert Louis Stevenson
384,10081671,The Lost Prince,Frances Hodgson Burnett
386,9985390,Virginibus Puerisque and Other Papers,Robert Louis Stevenson
387,223123,Vailima Letters: Being Correspondence Addressed By Robert Louis Stevenson To Sidney Colvin. November 1890   October 1894,Robert Louis Stevenson
388,25904376,The Crossing,Winston  Churchill
389,31414059,The Great God Pan,Arthur Machen
390,21454736,A Lute of Jade : selections from the classical poets of China,L. (Launcelot) Cranmer-Byng
393,15717174,The Blue Lagoon: A Romance,Henry de Vere Stacpoole
394,830128,Cranford,Elizabeth Gaskell
396,18891343,"The Lady, or the Tiger?",Frank R. Stockton
398,8224298,The First Book of Adam and Eve,Rutherford Hayes Platt Jr.
400,1580516,Helen of Troy and Other Poems,Sara Teasdale
401,4011331,Blix,Frank Norris
402,24823169,Penrod,Booth Tarkington
403,1225186,Soldiers of  Fortune,Richard Harding Davis
408,15845351,The Souls of Black Folk,W.E.B. Du Bois
409,19419143,"Poems on various subjects, religious and moral",Phillis Wheatley
412,1954804,John Jacob Astor,Elbert Hubbard
415,19230920,"The Bible in Spain; or, the journeys, adventures, and imprisonments of an Englishman, in an attempt to circulate the Scriptures in the Peninsula",George Borrow
416,23838169,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",Sherwood Anderson
419,10376402,The Magic of Oz,L. Frank Baum
420,10756338,Dorothy and The Wizard in Oz,L. Frank Baum
421,15796930,Kidnapped,Robert Louis Stevenson
422,18405676,The Romany Rye,George Borrow
425,14337224,Familiar Studies of Men and Books,Robert Louis Stevenson
426,18931171,Tales and Fantasies,Robert Louis Stevenson
432,26535163,The Ambassadors,Henry James
434,13507292,The Circular Staircase,Mary Roberts Rinehart
436,19079835,"The Master Key, An Electrical Fairy Tale Founded Upon the Mysteries of Electricity",L. Frank Baum
438,10638384,Underwoods,Robert Louis Stevenson
439,11015768,The vital message,Arthur Conan Doyle
440,19114851,Just David,Eleanor H. Porter
442,9680159,Love Songs,Sara Teasdale
443,34606027,The Love Affairs of a Bibliomaniac,Eugene Field
445,19190684,The Crowd: A Study of the Popular Mind,Gustave Le Bon
446,19289558,A Book of Remarkable Criminals,Henry B. Irving
447,18822624,"Maggie, a Girl of the Streets",Stephen Crane
448,797939,The Psychology of Revolution,Gustave Le Bon
451,1970979,The Shadow-Line: A Confession,Joseph Conrad
453,2117846,Emma McChesney and Co.,Edna Ferber
459,6815409,The White People,Frances Hodgson Burnett
460,9753119,The Dawn of A to-Morrow,Frances Hodgson Burnett
467,1979250,The Princess of Clèves,Madame de La Fayette
468,18001398,Manon Lescaut,Antoine Francois Prevost d'Exiles
471,18936668,The Bride of Lammermoor,Walter Scott
477,11465468,Criminal sociology,Enrico Ferri
479,782513,Little Lord Fauntleroy,Frances Hodgson Burnett
481,28405528,In the Bishop's Carriage,Miriam Michelson
482,826917,The Woodlanders,Thomas Hardy
485,1206564,The Road to Oz #5,L. Frank Baum
490,8467687,Life and Adventures of Calamity Jane,Calamity Jane
492,332470,Essays in the Art of Writing,Robert Louis Stevenson
493,10912256,Falk: A Reminiscence,Joseph Conrad
494,357301,Tomorrow,Joseph Conrad
495,7106647,Amy Foster,Joseph Conrad
496,15983158,The Little Lame Prince,Dinah Maria Mulock Craik
498,1496305,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin
502,121193,Desert Gold,Zane Grey
503,17970911,The Blue Fairy Book,Andrew Lang
504,9749037,The Fifth String,John Philip Sousa
505,40954,A History of the Warfare of Science with Theology in Christendom,Andrew Dickson White
506,6361685,The Shuttle,Frances Hodgson Burnett
507,31154866,Adam Bede,George Eliot
508,1183533,Twice-Told Tales,Nathaniel Hawthorne
512,9064193,Mosses from an Old Manse and Other Stories,Nathaniel Hawthorne
513,18473007,The Snow-Image,Nathaniel Hawthorne
514,597552,Little Women,Louisa May Alcott
517,877512,The Emerald City of Oz,L. Frank Baum
519,8233156,A Kidnapped Santa Claus,L. Frank Baum
520,2868547,Life and Adventures of Santa Claus,L. Frank Baum
521,10631651,The Life and Adventures of Robinson Crusoe,Daniel Defoe
525,7037409,Youth: A Narrative,Joseph Conrad
527,2083902,The End of the Tether,Joseph Conrad
532,7038918,At the Foot of the Rainbow,Gene Stratton-Porter
533,8680749,The Song of the Cardinal,Gene Stratton-Porter
534,2639753,An Inland Voyage,Robert Louis Stevenson
535,525426,Travels with a Donkey in the Cevennes,Robert Louis Stevenson
537,718887,Tales of Terror and Mystery,Arthur Conan Doyle
540,11148585,The Red Fairy Book,Andrew Lang
541,6097267,The Age of Innocence,Edith Wharton
543,2229483,Main Street,Sinclair Lewis
544,823591,Anne's House of Dreams,L.M. Montgomery
546,1267712,Under The Andes,Rex Stout
547,8817417,Baron Trigault's Vengeance,Emile Gaboriau
549,8264086,The Underdogs: A Novel of the Mexican Revolution,Mariano Azuela
550,30021555,Silias Marner,George Eliot
551,10023325,Land That Time Forgot,Edgar Rice Burroughs
553,9908523,Out of Time's Abyss,Edgar Rice Burroughs
554,6219987,The Contrast,Royall Tyler
555,3036770,The Unbearable Bassington,Saki
556,1496343,Rewards and Fairies,Rudyard Kipling
557,14578344,Puck of Pook's Hill,Rudyard Kipling
558,22028621,The Thirty-Nine Steps,John Buchan
559,22732401,Greenmantle,John Buchan
560,6442544,Mr. Standfast,John Buchan
561,8644202,The Further Adventures Of Robinson Crusoe,Daniel Defoe
562,8299742,The Go Ahead Boys and the Racing Motor Boat,Ross Kay
564,13380427,The Mystery of Edwin Drood,Charles Dickens
572,345183,Great Big Treasury of Beatrix Potter,Beatrix Potter
573,1891308,Tales from Shakespeare,Charles Lamb
574,3186248,Poems of William Blake,William Blake
580,1344484,The Pickwick Papers,Charles Dickens
581,10064636,Ginx's Baby: His Birth and Other Misfortunes. a Satire,Edward Jenkins
582,8436543,"Collection of Beatrix Potter Stories, a",Beatrix Potter
583,5890,The Woman in White,Wilkie Collins
584,1141627,"Our Nig; or, Sketches from the Life of a Free Black, In A Two-Story White House, North. Showing That Slavery's Shadows Fall Even There",Harriet E. Wilson
585,21975804,"Running a Thousand Miles for Freedom: Or, the Escape of William and Ellen Craft from Slavery",William Craft
588,7820512,Master Humphrey's Clock,Charles Dickens
589,1111372,Catriona,Robert Louis Stevenson
591,7447369,Flame and Shadow,Sara Teasdale
592,1731862,The Chinese Nightingale and Other Poems,Vachel Lindsay
596,1294050,Rivers to the Sea,Sara Teasdale
599,6313436,Vanity Fair,William Makepeace Thackeray
600,9474412,Notes from Underground,Fyodor Dostoyevsky
602,8661830,Pharsalia: Dramatic Episodes of the Civil Wars,Marcus Annaeus Lucanus
604,12995043,Gulliver of Mars,Edwin Lester Arnold
605,9911556,Pellucidar,Edgar Rice Burroughs
610,928102,Idylls of the King,Alfred Tennyson
611,7527318,Prester John,John Buchan
615,9759892,Orlando Furioso,Ludovico Ariosto
618,8188802,Codex Junius 11,Unknown
619,9278027,The Warden,Anthony Trollope
620,1206605,Sylvie and Bruno,Lewis Carroll
621,598346,The Varieties of Religious Experience: A Study in Human Nature,William James
623,6410366,The Battle of the Books and Other Short Pieces,Jonathan Swift
624,23471929,Looking Backward: 2000-1887,Edward Bellamy
638,822461,An Outcast of the Islands,Joseph Conrad
640,774557,The Yellow Fairy Book,Andrew Lang
641,19360423,The Violet Fairy Book,Andrew Lang
642,672172,The Altar of the Dead,Henry James
644,17166726,The Haunted Man and the Ghost's Bargain,Charles Dickens
645,24874315,The Figure in the Carpet,Henry James
647,974096,The Dynamiter,Robert Louis Stevenson
650,5340,Pictures from Italy,Charles Dickens
651,763531,Phantasmagoria and Other Poems,Lewis Carroll
652,10698926,Rasselas Prince of Abyssinia,Samuel Johnson
654,12343256,Grace Abounding to the Chief of Sinners,John Bunyan
671,10606762,"Phil, the Fiddler",Horatio Alger Jr.
675,713767,American Notes,Charles Dickens
676,3170878,The Battle of Life,Charles Dickens
677,6475204,"The Heroes, or, Greek Fairy Tales for My Children",Charles Kingsley
683,3718179,The Compleat Angler,Izaak Walton
684,8915156,Worldwide Effects Of Nuclear War: Some Perspectives,U.S. Arms Control and Disarmament Agency
687,6559246,Personal Record,Joseph Conrad
688,10067762,The Goodness of St. Rocque; And Other Stories,Alice Dunbar-Nelson
689,10168135,The Kreutzer Sonata and Other Stories,Leo Tolstoy
697,922737,The Light Princess,George MacDonald
699,1775352,A Child's History of England,Charles Dickens
700,8141852,The Old Curiosity Shop,Charles Dickens
701,1140671,The King of the Golden River,John Ruskin
702,8436436,Somebody's Little Girl,Martha Young
704,1180333,The Mansion,Henry Van Dyke
705,3468438,The Roadmender,Michael Fairless
708,12804713,The Princess and the Goblin,George MacDonald
709,1915212,The Princess and Curdie,George MacDonald
710,8315224,Love of Life: & Other Stories,Jack London
711,1246647,Alan Quartermain,H. Rider Haggard
712,6498703,Thomas Jefferson: A Character Sketch,Edward S. Ellis
713,19448568,Memoirs of Extraordinary Popular Delusions - Volume 2,Charles Mackay
717,19076036,Chita: A Memory of Last Island,Lafcadio Hearn
720,7431989,Almayer's Folly: A Story of an Eastern River,Joseph Conrad
721,8146339,The Bird's Christmas Carol,Kate Douglas Wiggin
727,20343812,The Star-Spangled Banner,John A. Carpenter
730,18260,Oliver Twist,Charles Dickens
737,11276910,The Bobbsey Twins at School,Laura Lee Hope
746,11044837,Burning Daylight,Jack London
747,2641632,Anomalies and Curiosities of Medicine,George M. Gould
748,135268,The Brother Of Daphne,Dornford Yates
751,2141488,Autocrat of the Breakfast Table,Oliver Wendell Holmes Sr.
754,3105357,The Story of Mankind,Hendrik Willem van Loon
755,7225956,A Lady's Life in the Rocky Mountains,Isabella L. Bird
756,19231024,Arizona Sketches,Joseph A. Munk
761,8232482,A. V. Laider,Max Beerbohm
764,983379,Hans Brinker or the Silver Skates,Mary Mapes Dodge
765,18662370,The Moon Pool,Abraham Grace Merritt
766,2301607,David Copperfield,Charles Dickens
767,221005,Agnes Gray,Anne Bronte
768,2785278,Wuthering Heights,Emily Bronte
769,19413957,The Book of Tea,Kakuzo Okakura
770,2205908,The Story of the Treasure Seekers: Being the Adventures of the Bastable Children in Search of a Fortune,E. Nesbit
771,10583683,Biographical Notes on the Pseudonymous Bells,Charlotte Bronte
773,3047139,Lord Arthur Savile's Crime; The Portrait Of Mr. W.H.: And Other Stories,Oscar Wilde
774,18691494,Essays and Lectures,Oscar Wilde
776,14316354,Hermione and Her Little Group of Serious Thinkers,Don Marquis
778,1915215,Five Children and It,E. Nesbit
781,11062850,The Sinking of the Titanic and Great Sea Disasters,Logan Marshall
782,999360,The Travels of Sir John Mandeville,John Mandeville
783,3466506,The Lost City,Joseph E. Badger Jr.
786,385759,Hard Times,Charles Dickens
788,19246067,The Red One,Jack London
790,19762641,Lady Windmere's Fan,Oscar Wilde
791,6665438,The Princess,Alfred Tennyson
792,2202805,"Wieland or, The Transformation: An American Tale",Charles Brockden Brown
804,31125261,A Sentimental Journey Through France and Italy,Laurence Sterne
805,978463,This Side of Paradise,F. Scott Fitzgerald
806,806079,Philoctetes,Sophocles
809,6715486,Holiday Romance,Charles Dickens
810,7352562,George Silverman's Explanation,Charles Dickens
815,93833,Democracy in America Volume 1,Alexis de Tocqueville
816,25777,Democracy in America Volume 2,Alexis de Tocqueville
819,19417150,The History of the Telephone,Herbert Newton Casson
821,922840,Dombey and Son,Charles Dickens
829,3220408,Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift
831,11411744,Four Arthurian Romances,Chretien de Troyes
832,4519196,Robin Hood,J. Walker McSpadden
833,6829562,The Theory of the Leisure Class,Thorstein Veblen
834,10356101,The Memoirs of Sherlock Holmes,Arthur Conan Doyle
836,763472,The Phoenix and the Carpet,E. Nesbit
837,16435879,Story of the Amulet,E. Nesbit
839,2300590,New Arabian Nights,Robert Louis Stevenson
843,1537339,The Life of Francis Marion,William Gilmore Simms
844,1184699,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde
847,1503869,Lays of Ancient Rome,Thomas Babington Macaulay
848,20634975,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson
849,22498689,Idle Thoughts of an Idle Fellow,Jerome K. Jerome
850,7015892,Tom Grogan,Francis Hopkinson Smith
851,27653822,Narrative of the Captivity and Restoration of Mrs Mary Rowlandson,MS Mary White Rowlandson
852,220883,Democracy and Education: An Introduction to the Philosophy of Education,John Dewey
854,122648,A Woman of No Importance,Oscar Wilde
855,6125034,Clocks,Jerome K. Jerome
856,8274853,Dreams,Jerome K. Jerome
858,19117299,Stage-Land,Jerome K. Jerome
863,23486599,The Mysterious Affair at Styles,Agatha Christie
864,23126869,The Master of Ballantrae:A winter's tale,Robert Louis Stevenson
868,11799312,The Philosopher's Joke,Jerome K. Jerome
872,12570421,Reprinted Pieces,Charles Dickens
873,6329642,A House of Pomegranates,Oscar Wilde
875,19062576,The Duchess of Padua,Oscar Wilde
881,2618116,Lemorne Versus Huell,Elizabeth Stoddard
882,29825696,Sketches by Boz: Illustrative of Every-Day Life and Every-Day People,Charles Dickens
883,10786191,Our Mutual Friend,Charles Dickens
884,20412955,Memoirs of Extraordinary Popular Delusions - Volume 3,Charles Mackay
885,13723449,An Ideal Husband,Oscar Wilde
887,1141685,Intentions,Oscar Wilde
888,1037106,The Lazy Tour Of Two Idle Apprentices,Charles Dickens
897,19170708,The Rose and the Ring,William Makepeace Thackeray
898,398136,The Lesson of the Master,Henry James
901,14902346,The Jew of Malta,Christopher Marlowe
902,34093981,The Happy Prince And Other Tales,Oscar Wilde
903,314752,The White Company,Arthur Conan Doyle
904,18898696,Her Father's Daughter,Gene Stratton-Porter
906,4980805,Abraham Lincoln,James Russell Lowell
910,20870768,White Fang,Jack London
911,13226207,Tales of the Fish Patrol,Jack London
912,2311940,Mudfog and Other Sketches,Charles Dickens
914,26633643,The Uncommercial Traveller,Charles Dickens
916,18943255,Sketches of Young Couples,Charles Dickens
917,981956,Barnaby Rudge: A Tale of the Riots of 'Eighty,Charles Dickens
918,19238199,Sketches of Young Gentlemen,Charles Dickens
921,976805,De Profundis,Oscar Wilde
924,4906071,To Be Read At Dusk,Charles Dickens
927,1503704,The Lamplighter,Charles Dickens
932,6234638,The Fall of the House of Usher,Edgar Allan Poe
940,1933709,The Last of the Mohicans: A Narrative of 1757,James Fenimore Cooper
942,557522,Green Mansions: A Romance of the Tropical Forest,William Henry Hudson
943,20738193,Misalliance,George Bernard Shaw
944,918692,Voyage of the Beagle,Charles Darwin
945,23462131,Dust,Emanuel Haldeman-Julius
946,8130030,Lady Susan,Jane Austen
955,18039076,The Patchwork Girl of Oz,L. Frank Baum
956,2092241,Tik-Tok of Oz,L. Frank Baum
957,11042077,The Scarecrow of Oz,L. Frank Baum
963,922837,Little Dorritt,Charles Dickens
964,9030474,The Adventures of Robin Hood,Howard Pyle
965,6096814,The Black Tulip,Alexandre Dumas
966,2778188,Maid Marian,Thomas Love Peacock
967,6361861,Nicholas Nickleby,Charles Dickens
968,14759010,Martin Chuzzlewitt,Charles Dickens
972,16005411,The Devil's Dictionary,Ambrose Bierce
974,86659,The Secret Agent: A Simple Tale,Joseph Conrad
976,1201548,Tanglewood Tales,Nathaniel Hawthorne
980,7324956,Alice Adams,Booth Tarkington
981,9289628,Beowulf,Francis Barton Gummere
982,9513597,A Book of Nonsense,Edward Lear
985,1264155,Father Sergius,Leo Tolstoy
986,29542727,Master and Man,Leo Tolstoy
995,754550,Ballads of a Bohemian,Robert W. Service
996,57402,Don Quijote,Miguel de Cervantes Saavedra
1004,30844244,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri
1015,10340378,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,Francis Parkman
1017,80339,The Soul of Man Under Socialism,Oscar Wilde
1018,12457856,The Water-Babies,Charles Kingsley
1019,496243,"Poems by Currer, Ellis, and Acton Bell",Charlotte Bronte
1020,3133201,Sword Blades and Poppy Seed,Amy Lowell
1021,752769,The Congo and Other Poems,Vachel Lindsay
1022,14450056,Walking,Henry David Thoreau
1023,61522,Bleak House,Charles Dickens
1024,3047235,The Wrecker,Robert Louis Stevenson
1026,880611,The Diary of a Nobody,George Grossmith
1027,26772540,The Lone Star Ranger: A Romance of the Border,Zane Grey
1028,7764405,The Professor,Charlotte Bronte
1032,1084124,The Pupil,Henry James
1033,13448481,Rose O' the River,Kate Douglas Wiggin
1036,7518420,Joe Wilson and His Mates,Henry Lawson
1041,567726,Shakespeare's Sonnets,William Shakespeare
1044,453751,Extract from Captain Stormfield's Visit to Heaven,Mark Twain
1045,12926785,Venus and Adonis,William Shakespeare
1049,17228191,Vanished Arizona: recollections of the Army life of a New England woman,Martha Summerhayes
1050,2420464,The Dark Lady of the Sonnets,George Bernard Shaw
1056,14330208,Martin Eden,Jack London
1058,441880,The Mirror of the Sea,Joseph Conrad
